用户名,原评论,预处理后评论
罗弘霉素,一遍烂，两遍笑，三遍哭,一遍烂，两遍笑，三遍哭
Mona Lishark,有人跟我比赛背台词么,有人跟我比赛背台词么
眠去,为什么越看越觉得悲伤,为什么越看越觉得悲伤
Lan~die,经历过和正在经历着悟空式的命运和紫霞式的爱情，才发现生命的本质是以最低的姿态出现的。英雄？你为什么不问问做英雄的代价？ “想不到经过这五百年，我要找的并不是她，而是你。”人生际遇真是难以言喻。,经历过和正在经历着悟空式的命运和紫霞式的爱情，才发现生命的本质是以最低的姿态出现的。英雄？你为什么不问问做英雄的代价？ 想不到经过这五百年，我要找的并不是她，而是你。人生际遇真是难以言喻。
小锡兵,我猜中了开头，却猜不到这结局。/ 20141024 在影院哭死,我猜中了开头，却猜不到这结局。 20141024 在影院哭死
影志,任何时候任何场合都可以再看一遍的电影,任何时候任何场合都可以再看一遍的电影
康报虹,坐我旁边的那个年近四十、西装革履的男人从电影刚开始就止不住眼泪，有些地方哭着笑出声。而他的年轻女伴从开头就一直低头玩手机、到经典场景就煞有介事地拍张照片、不到一半时一直嚷嚷着无聊，硬是把那个男人拉走了。,坐我旁边的那个年近四十西装革履的男人从电影刚开始就止不住眼泪，有些地方哭着笑出声。而他的年轻女伴从开头就一直低头玩手机到经典场景就煞有介事地拍张照片不到一半时一直嚷嚷着无聊，硬是把那个男人拉走了。
凉水,紫霞飘向太阳时、齐天大圣离开城门时，都哭成了傻逼。有多庆幸能踩着五彩祥云做你的盖世英雄，就有多遗憾没办法与你守护终身。喜欢的是五百年前的晶晶、还是给了自己三颗痣的紫霞；喜欢无拘无束敢爱敢恨的至尊宝、还是套上紧箍咒背影像狗的孙悟空？爱的命题究竟太空泛，恐怕还是要交给月光宝盒。,紫霞飘向太阳时齐天大圣离开城门时，都哭成了傻逼。有多庆幸能踩着五彩祥云做你的盖世英雄，就有多遗憾没办法与你守护终身。喜欢的是五百年前的晶晶还是给了自己三颗痣的紫霞；喜欢无拘无束敢爱敢恨的至尊宝还是套上紧箍咒背影像狗的孙悟空？爱的命题究竟太空泛，恐怕还是要交给月光宝盒。
仲楚,紫霞仙子眨眼的一瞬惊艳，无忧无虑的至尊宝。 至尊宝面对现实的两条路: 不成大圣，我无法救你。成了大圣，我无法爱你。,紫霞仙子眨眼的一瞬惊艳，无忧无虑的至尊宝。 至尊宝面对现实的两条路: 不成大圣，我无法救你。成了大圣，我无法爱你。
林愈静,看了不下20遍，彻底看伤了。,看了不下20遍，彻底看伤了。
卷子乐子八子,一生所爱：我的意中人是个盖世英雄，有一天他会穿着金盔金甲，踩着七色的云彩来娶我。我猜中了前头，可是我猜不着这结局……,一生所爱：我的意中人是个盖世英雄，有一天他会穿着金盔金甲，踩着七色的云彩来娶我。我猜中了前头，可是我猜不着这结局
甜甜甜甜甜甜甜,小时候看着笑，长大了看着哭。,小时候看着笑，长大了看着哭。
野次馬,"盗用一句黄姐姐很喜欢的管风琴，""人能这么锲而不舍地轻佻，骨子里一定有哀世伤生的肃穆在支撑。""","盗用一句黄姐姐很喜欢的管风琴，""人能这么锲而不舍地轻佻，骨子里一定有哀世伤生的肃穆在支撑。"""
瓦达西瓦又又又桑只爱这巧克力,因为你还没有遇到给你三颗痣的人,因为你还没有遇到给你三颗痣的人
寂地,"哈哈,也是我最喜欢的电影之一了.看过好几次,第一次看笑得半死,后来居然又看哭了.其实可以喜欢到不太想得起来.但是是值得永远收藏的.","哈哈,也是我最喜欢的电影之一了.看过好几次,第一次看笑得半死,后来居然又看哭了.其实可以喜欢到不太想得起来.但是是值得永远收藏的."
卡特兰,我想，应该不用说什么才对。,我想，应该不用说什么才对。
俗在骨,我真的不欠谁的电影票 别跟我提情怀 你就是想圈钱,我真的不欠谁的电影票 别跟我提情怀 你就是想圈钱
胡小猴,紫霞开始多骄傲啊。从今往后这里的一切都是我的，包括你在内。快叫主人。可是，从至尊宝拔出紫青宝剑的那一刻，他们的关系就颠倒了。爱情是多么危险的事物啊。轻而易举就能毁掉一个人的骄傲。就像毒品一样，能让最矜持的人当众大小便失禁。想到自己的孩子早晚也要落入爱情的陷阱，我就难过得浑身发抖。,紫霞开始多骄傲啊。从今往后这里的一切都是我的，包括你在内。快叫主人。可是，从至尊宝拔出紫青宝剑的那一刻，他们的关系就颠倒了。爱情是多么危险的事物啊。轻而易举就能毁掉一个人的骄傲。就像毒品一样，能让最矜持的人当众大小便失禁。想到自己的孩子早晚也要落入爱情的陷阱，我就难过得浑身发抖。
南笙,我在你心里是个句号还是一个惊叹号？,我在你心里是个句号还是一个惊叹号？
大头绿豆,请收藏粤语版。「2010」：1218，这么多年后重看，居然还是湿了。【2014】终于在大荧幕上看了。虽然是普通话。经得起这么多次的反刍，可以确认是经典了。想起东邪西毒重演时提前离场的对比，简直。,请收藏粤语版。2010：1218，这么多年后重看，居然还是湿了。2014终于在大荧幕上看了。虽然是普通话。经得起这么多次的反刍，可以确认是经典了。想起东邪西毒重演时提前离场的对比，简直。
Cherry,无法理解无厘头,无法理解无厘头
Linda,谁能告诉我这电影到底好在哪?,谁能告诉我这电影到底好在哪?
阅微草堂,只是一个应错阳差的片子，至于么？ 慢慢理解了流行其实就是一个蝴蝶效应,只是一个应错阳差的片子，至于么？ 慢慢理解了流行其实就是一个蝴蝶效应
西楼尘,那天我凤冠霞帔，你意气风发，驾七彩祥云却没来娶我。那日我大战群魔，你泪水涟涟，戴着紧箍圈却放了手。这一世品尝了所有爱恨苦楚，架着金箍棒转身。从此黄沙漫漫，再没有一个姑娘在脚底点上三颗痣，嚣叫着宣告主权。不会钻进心脏，流下明知南墙偏要撞的眼泪。从此后世流传我们相爱的秘闻，只有开头。,那天我凤冠霞帔，你意气风发，驾七彩祥云却没来娶我。那日我大战群魔，你泪水涟涟，戴着紧箍圈却放了手。这一世品尝了所有爱恨苦楚，架着金箍棒转身。从此黄沙漫漫，再没有一个姑娘在脚底点上三颗痣，嚣叫着宣告主权。不会钻进心脏，流下明知南墙偏要撞的眼泪。从此后世流传我们相爱的秘闻，只有开头。
woodYA!!en,鲜花虽会凋谢，但会再开。一生所爱，隐约在白云外。苦海翻起爱恨，在世间难逃避命运。相亲竟不可接近，或我应该相信是命运。,鲜花虽会凋谢，但会再开。一生所爱，隐约在白云外。苦海翻起爱恨，在世间难逃避命运。相亲竟不可接近，或我应该相信是命运。
宋阿慕,大话西游成就了一个时代.这句话一点也没错.不管是好的方面还是不好的方面.|人试图化身为天地，这本身就是一种不自量力。,大话西游成就了一个时代.这句话一点也没错.不管是好的方面还是不好的方面.人试图化身为天地，这本身就是一种不自量力。
Lydia,我看不懂，真的看不懂。我反思自己是不是理解能力有问题？我翻看了好多影评，依旧毫无头绪，没法产生共鸣。我的年龄和阅历，甚至情怀都不至于无法理解一部电影吧。这部几乎人人称颂的港片经典，评分9分以上的电影，真的不是某个年龄段人们的所谓情怀和过度解读推上去的？我真的怀疑人生了。,我看不懂，真的看不懂。我反思自己是不是理解能力有问题？我翻看了好多影评，依旧毫无头绪，没法产生共鸣。我的年龄和阅历，甚至情怀都不至于无法理解一部电影吧。这部几乎人人称颂的港片经典，评分9分以上的电影，真的不是某个年龄段人们的所谓情怀和过度解读推上去的？我真的怀疑人生了。
钟楼小奶糕,一定有一些电影 永远都不能被超越,一定有一些电影 永远都不能被超越
雨读,这..是..现象级的过度解读吧..周星驰还是那个周星驰，只是我们对于青春和情怀的捍卫过于执拧。说实话，笑不出，哭不出，至于像条狗的总结陈词，不就是周星驰惯用的将主角都打上市井小民烙印的招数？,这..是..现象级的过度解读吧..周星驰还是那个周星驰，只是我们对于青春和情怀的捍卫过于执拧。说实话，笑不出，哭不出，至于像条狗的总结陈词，不就是周星驰惯用的将主角都打上市井小民烙印的招数？
南山的姑娘,简直就是为了圈钱的，情怀这个东西说多了就真不值钱了,简直就是为了圈钱的，情怀这个东西说多了就真不值钱了
真敷衍,今年的戛纳电影节跟中国完全鸟关系都没有，红毯都懒得去蹭了。我们却还在漆黑狭小的电影院里对着二十三年前被吹上天的电影自我感动，抹一把高潮泪。怎么说才好呢？,今年的戛纳电影节跟中国完全鸟关系都没有，红毯都懒得去蹭了。我们却还在漆黑狭小的电影院里对着二十三年前被吹上天的电影自我感动，抹一把高潮泪。怎么说才好呢？
朝暮雪,《大话西游》好于99%的喜剧片，《仙球大战》好于0%的喜剧片。 刘镇伟可能是唯一一个又拍过好于99%的喜剧片，又拍过好于0%的喜剧片的导演。,大话西游好于99的喜剧片，仙球大战好于0的喜剧片。 刘镇伟可能是唯一一个又拍过好于99的喜剧片，又拍过好于0的喜剧片的导演。
尹乃文_eleven,那些喷靠情怀圈钱的，我就特别想问，你既然有这个情怀，难道真的还不值那几十块钱的电影票钱？,那些喷靠情怀圈钱的，我就特别想问，你既然有这个情怀，难道真的还不值那几十块钱的电影票钱？
抽到2012,很多年以前就看过，我不觉得有那些人所说的那么经典，我也非常讨厌他们的那些意淫和解构，我认为这就是一部拍的还可以的喜剧，至于其他的部分，我觉得是这些无聊的人过度解构了,很多年以前就看过，我不觉得有那些人所说的那么经典，我也非常讨厌他们的那些意淫和解构，我认为这就是一部拍的还可以的喜剧，至于其他的部分，我觉得是这些无聊的人过度解构了
