user_id,gender,age,region,register_time,member_level
U0001,男,19,华北,2023-3-28,V4
U0002,女,33,西北,2023-9-6,V1
U0003,未知,65,东北,2023-6-23,V1
U0004,男,65,西北,2024-1-25,V3
U0005,女,23,华北,2023-6-23,V3
U0006,未知,20,华北,2023-5-23,V3
U0007,男,,西南,2023-10-3,V1
U0008,女,50,西北,2023-11-5,V4
U0009,未知,53,华东,2023-10-2,V1
U0010,男,-99,华东,2024-5-19,V3
U0011,女,44,西北,2023-5-30,V3
U0012,未知,55,华北,2028-3-6,V3
U0013,男,-18,华南,2023-6-21,V3
U0014,女,28,华北,2024-3-21,V3
U0015,未知,39,华北,2023-10-10,V3
U0016,男,31,华南,2024-3-7,V2
U0017,女,39,东北,2023-11-3,V2
U0018,未知,2,华北,2024-5-10,V2
U0019,男,40,华南,2023-3-20,V1
U0020,女,69,西北,2024-1-5,V4
U0021,未知,,华南,2023-9-15,V3
U0022,男,25,华东,2023-9-10,V2
U0023,女,42,华南,2024-5-22,V1
U0024,未知,36,华北,2023-7-20,V4
U0025,男,57,东北,2024-4-13,V3
U0026,女,41,西北,2023-4-20,V3
U0027,未知,63,华南,2023-5-19,V4
U0028,男,60,华北,2023-11-8,V4
U0029,女,36,东北,2023-1-7,V4
U0030,未知,32,华南,2024-2-10,V1
U0031,男,42,西北,2023-12-7,V2
U0032,女,58,西北,2024-1-25,V3
U0033,未知,28,华东,2023-12-4,V2
U0034,男,31,西北,2024-3-26,V4
U0035,女,62,东北,2023-12-9,V3
U0036,未知,59,华北,2024-3-16,V3
U0037,男,58,西北,2023-5-20,V2
U0038,女,64,西北,2023-11-4,V2
U0039,未知,47,华北,2023-11-25,V3
U0040,男,58,华北,2023-7-25,V1
U0041,女,32,东北,2024-5-5,V4
U0042,未知,67,西北,2023-11-18,V2
U0043,男,32,东北,2023-7-1,V3
U0044,女,69,西北,2024-2-12,V2
U0045,未知,35,华南,2023-11-23,V3
U0046,男,54,西北,2023-10-26,V1
U0047,女,38,华东,2024-5-17,V2
U0048,未知,49,华东,2023-9-6,V3
U0049,男,59,华东,2023-11-30,V2
U0050,女,34,华东,2024-1-21,V3
U0051,未知,65,东北,2023-10-15,V4
U0052,男,34,西北,2024-2-7,V3
U0053,女,45,华南,2024-1-9,V3
U0054,未知,43,东北,2023-4-27,V3
U0055,男,26,华北,2023-7-24,V3
U0056,女,23,西北,2023-7-4,V4
U0057,未知,25,西南,2023-1-28,V1
