user_id,click_num,collect_num,cart_num,last_visit,login_days
U0001,12,2,1,2024-4-28,13
U0002,17,5,10,,4
U0003,16,8,0,2024-8-14,9
U0004,25,14,6,2024-9-7,19
U0005,12,8,10,2024-1-1,25
U0006,28,6,13,2024-7-21,2
U0007,8,10,0,2024-6-30,10
U0008,27,1,5,2024-2-20,4
U0009,19,13,7,2024-5-24,21
U0010,18,15,14,,16
U0011,28,5,5,2024-4-26,19
U0012,6,1,0,2024-7-27,7
U0013,27,6,8,2024-1-22,5
U0014,6,15,0,2024-2-2,16
U0015,21,4,12,2024-9-19,3
U0016,18,3,8,2024-3-18,29
U0017,14,3,10,2024-3-14,25
U0018,8,4,0,2024-2-15,26
U0019,11,0,12,2024-4-17,12
U0020,6,6,0,2024-1-3,27
U0021,28,4,0,2024-7-1,13
U0022,19,6,9,,10
U0023,30,1,17,2024-2-17,25
U0024,2,0,0,2024-5-11,23
U0025,17,3,11,2024-8-16,2
U0026,1,0,0,2024-1-29,15
U0027,5,0,0,2024-7-8,30
U0028,7,11,0,2024-5-3,15
U0029,17,0,2,2024-4-6,6
U0030,9,11,2,2024-1-15,2
U0031,17,11,18,2024-9-10,6
U0032,14,9,18,2024-5-29,2
U0033,13,15,1,2024-5-24,27
U0034,2,0,0,2024-7-14,19
U0035,25,13,12,2024-4-17,24
U0036,20,2,10,2024-5-5,25
U0037,9,13,12,2024-6-6,14
U0038,9,1,7,2024-7-31,28
U0039,8,12,0,2024-1-22,9
U0040,7,1,0,2024-5-28,18
U0041,23,7,5,2024-1-28,7
U0042,22,1,5,2024-5-30,3
U0043,27,9,12,2024-1-22,7
U0044,7,0,0,2024-1-26,10
U0045,21,0,15,2024-5-10,4
U0046,21,10,19,2024-5-14,22
U0047,24,8,2,2024-1-22,25
U0048,14,13,3,2024-5-4,23
U0049,28,0,2,2024-5-28,15
U0050,7,2,0,2024-3-1,21
U0051,12,6,15,2024-9-4,30
U0052,24,3,16,2024-4-9,13
U0053,20,8,10,2024-4-29,25
U0054,20,6,3,2024-1-22,5
U0055,1,0,0,2024-8-20,25
U0056,19,7,5,2024-3-18,25
U0057,27,13,11,2024-2-21,11
