['凤凰层 观景视野高人一等 边户更通透 房主诚售'],['66.8']
['趋势验西六路，精装小高层，南北通透60万+'],['56']
['西地华府 精装三室 三证满五年 带储，有车位'],['73']
['名仕城西邻市实燕 出门新村路 诚意出售 房价面议'],['55']
['齐韵韶苑 精装多层3室 一楼带院 带车位带储'],['60']
['双阳台 精装三室两厅两卫 好楼层 带储藏室看房方便'],['105']
['凯瑞安园 电梯精装住宅公寓 带租约出售'],['17.8']
['盛世康城五期 精装3居室 次新房 带储藏室'],['89']
['春申君临天下 2室2厅 南 北'],['37']
['万象汇商厦  精装电梯房  水电煤暖全  诚意卖  价格低'],['22']
['13万出售，一梯一户，楼下生活圈丰富，大产权房带储'],['13']
['西七路东学府佳苑27层，大三室'],['94.8']
['嘉亿二期 观景户型 毛坯未住 带车位储  价格好商量'],['86']
['70年产权 柳泉齐悦二期 南向精装 好楼层 采光视野好'],['55']
['华润中央公园 三居 电梯 五星物业'],['89']
['区医院宿舍  单位房  精装修  随时可看  拎包即住'],['20.8']
['珑悦125平带车位99万包大税火炬公园旁急售'],['95']
['一楼带院出行方便适合过渡 老人住'],['29.8']
['火车站南广场 出行方便  生活便利  适合年轻人婚房'],['58']
['新房精装，即买即住，品牌设计，成熟品质。'],['84']
['魏家居住区，大产权，着急出售，随时看房'],['23']
['龙泰B区 世嘉新城160平元宝户 精装带车储急售'],['149.9']
['道庄小区 2室2厅 南 北'],['39.9']
['新元旁 带地上储 两居室 看房方便'],['22.8']
['阳光头排！全天采光！精装未住！带车储！随时看房！'],['205']
['带地下大车库！电梯内复式 总面积200多平 带大露台'],['160']
['凯瑞 九仲旁 怡祥园小区多层一楼 三室两卫 精装修'],['92']
['新房现房 可贷款 无大税 单价6000多安家北京路 好楼层'],['71']
['小高层带电梯精装修带车储三室西六路区试验'],['93']
['星河城 四室 好楼层 精装 业主急售 孝妇河二院'],['125']
